phase,model,metrics_used,precision,recall,f1
Test,Neural Net,"name_metric,language_metric,keywords_metric",0.8081761006289309,0.8595317725752508,0.833063209076175
CV,Logistic Regression,"name_metric,language_metric,author_metric",0.5908602150537634,0.9196652719665271,0.7194762684124386
CV,Random Forest,"name_metric,language_metric,author_metric",0.8071672354948806,0.7916317991631799,0.7993240388677652
CV,XGBoost,"name_metric,language_metric,author_metric",0.7552685248130524,0.9297071129707113,0.8334583645911477
CV,LightGBM,"name_metric,language_metric,author_metric",0.7508372404554589,0.9380753138075314,0.8340773809523809
CV,Neural Net,"name_metric,language_metric,author_metric",0.7859281437125748,0.8786610878661087,0.8297115764519952
Test,Logistic Regression,"name_metric,language_metric,author_metric",0.5915789473684211,0.939799331103679,0.7260981912144703
Test,Random Forest,"name_metric,language_metric,author_metric",0.8,0.842809364548495,0.8208469055374593
Test,XGBoost,"name_metric,language_metric,author_metric",0.7429305912596401,0.9665551839464883,0.8401162790697675
Test,LightGBM,"name_metric,language_metric,author_metric",0.7416020671834626,0.959866220735786,0.8367346938775511
Test,Neural Net,"name_metric,language_metric,author_metric",0.7987987987987988,0.8896321070234113,0.8417721518987342
CV,Logistic Regression,"name_metric,synonym_metric,keywords_metric",0.5789746245468669,0.9355648535564853,0.7152911068458093
CV,Random Forest,"name_metric,synonym_metric,keywords_metric",0.8539419087136929,0.8610878661087866,0.8575
CV,XGBoost,"name_metric,synonym_metric,keywords_metric",0.8179148311306902,0.9322175732217574,0.8713335940555338
